City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
250,Makasar,ID,-5.14,119.4221,77.05,100,20,2.3,few clouds,0,0
251,Viedma,AR,-40.8135,-62.9967,65.19,37,100,16.96,overcast clouds,0,0
252,Matamoros,MX,25.5333,-103.25,98.1,7,46,4.99,scattered clouds,0,0
253,Coahuayana,MX,18.7333,-103.6833,88.0,48,16,8.1,few clouds,0,0
254,Champerico,GT,14.3,-91.9167,93.74,67,56,10.54,broken clouds,0,0
255,Aripuana,BR,-9.1667,-60.6333,78.4,92,43,1.83,scattered clouds,0,0
256,Penzance,GB,50.1186,-5.5371,50.68,90,73,11.25,broken clouds,0,0
257,Butterworth,MY,5.3991,100.3638,82.44,93,20,3.44,moderate rain,0,0
258,Mahebourg,MU,-20.4081,57.7,75.49,88,20,3.44,few clouds,0,0
259,Kavaratti,IN,10.5669,72.642,85.12,69,98,14.88,overcast clouds,0,0
260,Mahina,PF,-17.5065,-149.489,83.97,74,20,3.44,light rain,0,0
261,Belyy Yar,RU,53.6039,91.3903,30.85,48,0,2.24,clear sky,0,0
262,Vestmanna,FO,62.1564,-7.1664,47.32,100,100,13.8,light rain,0,0
263,Kampot,KH,10.6167,104.1833,82.45,89,100,5.41,overcast clouds,0,0
264,Margherita,IN,27.2833,95.6833,74.98,80,39,2.1,scattered clouds,0,0
265,Magaria,NE,12.9983,8.9099,93.34,22,56,6.6,broken clouds,0,0
266,Balagansk,RU,54.0103,103.0544,28.47,69,15,8.52,few clouds,0,0
267,Half Moon Bay,US,37.4636,-122.4286,62.22,57,0,20.71,haze,0,0
268,Kahului,US,20.8947,-156.47,84.22,51,40,17.27,scattered clouds,0,0
269,Veraval,IN,20.9,70.3667,81.36,80,0,16.42,clear sky,0,0
270,Nemuro,JP,43.3236,145.575,41.09,75,35,11.21,scattered clouds,0,0
271,Saint-Francois,FR,46.4154,3.9054,58.44,67,0,4.61,clear sky,0,0
272,Aswan,EG,24.0934,32.907,87.1,12,0,6.91,clear sky,0,0
273,Nishihara,JP,26.1842,127.7558,75.25,94,100,8.05,overcast clouds,0,0
274,Galesong,ID,-5.3166,119.3661,77.02,83,100,5.03,overcast clouds,0,0
275,Nong Khai,TH,17.9167,103.0833,76.28,82,20,3.44,few clouds,0,0
276,Trelew,AR,-43.249,-65.3051,64.15,25,43,14.16,scattered clouds,0,0
277,Sabang,ID,5.8933,95.3214,82.49,74,100,5.44,overcast clouds,0,0
278,Hasaki,JP,35.7333,140.8333,59.4,54,100,12.46,overcast clouds,0,0
279,Tanete,ID,-3.9443,119.7848,75.42,98,100,3.49,overcast clouds,0,0
280,Boshnyakovo,RU,49.6333,142.1667,30.83,99,100,14.7,snow,0,0
281,Inhambane,MZ,-23.865,35.3833,71.56,86,0,7.36,light rain,0,0
282,Komsomolskiy,UZ,40.4272,71.7189,70.52,49,0,6.91,clear sky,0,0
283,Chimbote,PE,-9.0853,-78.5783,67.77,82,98,9.69,overcast clouds,0,0
284,Manturovo,RU,58.3353,44.7619,51.89,67,100,10.25,overcast clouds,0,0
285,Sao Marcos,BR,-28.9711,-51.0681,69.75,83,0,1.95,clear sky,0,0
286,Metro,ID,-5.1131,105.3067,77.09,84,97,4.45,overcast clouds,0,0
287,Alanya,TR,36.5438,31.9998,60.93,56,38,2.77,scattered clouds,0,0
288,Puerto Leguizamo,CO,-0.1934,-74.7819,80.22,78,94,3.15,overcast clouds,0,0
289,Norwalk,US,33.9022,-118.0817,73.51,62,75,11.5,broken clouds,0,0
290,Naze,JP,28.3667,129.4833,70.72,95,100,6.8,overcast clouds,0,0
291,Longyan,CN,25.1072,117.0225,66.43,95,99,0.65,overcast clouds,0,0
292,Tazovskiy,RU,67.4667,78.7,32.29,96,100,14.29,overcast clouds,0,0
293,Colares,PT,38.7992,-9.4469,71.28,40,0,18.41,clear sky,0,0
294,Gizo,SB,-8.103,156.8419,83.03,77,95,7.27,light rain,0,0
295,Iskateley,RU,67.6803,53.1512,28.85,94,100,6.02,overcast clouds,0,0
296,Mikkeli,FI,61.6886,27.2723,36.14,69,0,3.44,clear sky,0,0
297,Hirara,JP,24.8,125.2833,77.43,84,93,5.06,overcast clouds,0,0
298,Grindavik,IS,63.8424,-22.4338,51.75,87,75,20.71,light intensity drizzle,0,0
299,Akureyri,IS,65.6835,-18.0878,46.33,81,75,11.5,broken clouds,0,0
300,Nichinan,JP,31.6,131.3667,66.45,88,95,2.08,overcast clouds,0,0
301,Kiama,AU,-34.6833,150.8667,57.38,88,96,1.01,light rain,0,0
302,Hamilton,US,39.1834,-84.5333,72.64,48,0,9.22,clear sky,0,0
303,Meulaboh,ID,4.1363,96.1285,77.0,89,100,3.22,overcast clouds,0,0
304,Bubaque,GW,11.2833,-15.8333,77.2,73,42,12.53,light rain,0,0
305,Panuco,MX,22.05,-98.1667,100.02,40,1,14.38,clear sky,0,0
306,Pochutla,MX,15.7432,-96.4661,91.81,43,14,9.66,few clouds,0,0
307,Copalillo,MX,18.0333,-99.1167,98.91,17,46,2.08,scattered clouds,0,0
308,Lagoa,PT,39.05,-27.9833,61.68,82,49,9.86,scattered clouds,0,0
309,Linjiang,CN,41.8069,126.9078,39.27,62,0,1.45,clear sky,0,0
